================================================================================
  STA TOP-LEVEL DUMP LOG  —  PD_STA_REPORTS
================================================================================

  Root Directory   : D:\Certificates\PD_STA_REPORTS
  Parsed At        : 2026-08-15T22:10:33
  Total Blocks     : 57
  Total Reports    : 1007


AGGREGATE SUMMARY
----------------------------------------
  Overall Status   : VIOLATED
  Worst WNS  (ns)  : -0.231
  Worst TNS  (ns)  : -6.788
  Worst WHS  (ns)  : -0.041
  Total Violations : 9

BY PIPELINE STAGE
----------------------------------------
  Stage                   Owner            #       WNS       TNS       WHS  STATUS
  ──────────────────────  ────────────  ────  ────────  ────────  ────────  ──────────
  CACHE                   MTO_User9        5    -0.145    -3.340     0.000  VIOLATED
  COMMIT                  MTO_User8        4     0.000     0.000     0.000  MET
  DECODE                  MTO_User2        5    -0.089    -0.876     0.000  VIOLATED
  EXECUTE                 MTO_User5       13    -0.198    -3.760     0.000  VIOLATED
  FETCH                   MTO_User1        7    -0.048    -0.468     0.000  VIOLATED
  ISSUE                   MTO_User4        4     0.000     0.000    -0.041  VIOLATED
  MEMORY                  MTO_User6        6    -0.063    -0.628     0.000  VIOLATED
  RENAME_DISPATCH         MTO_User3        4     0.000     0.000    -0.033  VIOLATED
  UNCORE                  MTO_User10       6     0.000     0.000     0.000  MET
  WRITEBACK               MTO_User7        3    -0.231    -6.788     0.000  VIOLATED

BY CORNER
----------------------------------------
  Name                                              #       WNS       TNS       WHS  STATUS
  ─────────────────────────────────────────────  ────  ────────  ────────  ────────  ──────────
  N/A                                              57     0.000     0.000     0.000  MET
  ff_1p16v_1p16v_125c                              76     0.018     0.000    -0.041  VIOLATED
  ff_1p16v_1p16v_n40c                             133     0.031     0.000    -0.033  VIOLATED
  ff_1p32v_1p32v_n40c                              19     1.048     0.000     0.000  MET
  lvss_0p63v_0p63v_125c                             1    -0.231    -6.788     0.076  VIOLATED
  ss_0p63v_0p63v_125c                              56     1.045     0.000     0.061  MET
  ss_0p63v_0p63v_n40c                              19     1.045     0.000     0.000  MET
  ss_0p72v_0p72v_125c                             247    -0.145    -3.340     0.000  VIOLATED
  ss_0p72v_0p72v_m40c                               1    -0.198    -3.760     0.071  VIOLATED
  ss_0p72v_0p72v_n40c                              56     1.030     0.000     0.061  MET
  tt_0p90v_0p90v_25c                              304    -0.063    -0.628     0.000  VIOLATED
  tt_0p90v_0p90v_85c                               38     1.044     0.000     0.000  MET

BY CHECK TYPE
----------------------------------------
  Name                                              #       WNS       TNS       WHS  STATUS
  ─────────────────────────────────────────────  ────  ────────  ────────  ────────  ──────────
  N/A                                              57     0.000     0.000     0.000  MET
  hold                                            323     0.018     0.000    -0.041  VIOLATED
  setup                                           627    -0.231    -6.788     0.000  VIOLATED

PER-BLOCK SUMMARY
----------------------------------------
  Block                                          Design                  Rpts       WNS       TNS       WHS  STATUS      Owner
  ─────────────────────────────────────────────  ──────────────────────  ────  ────────  ────────  ────────  ──────────  ────────────
  CACHE\CACHE_CONTROLLER                         CACHE_CTRL_TOP            11     0.000     0.000     0.000  MET         User47
  CACHE\L1D                                      L1D_TOP                   11     0.000     0.000     0.000  MET         User48
  CACHE\L1I                                      L1I_TOP                   11     0.000     0.000     0.000  MET         User49
  CACHE\L2                                       L2_TOP                    11    -0.145    -3.340     0.000  VIOLATED    User50
  CACHE\L3_LLC                                   L3_LLC_TOP                11     0.000     0.000     0.000  MET         User51
  COMMIT\ARF                                     ARF_TOP                   11     0.000     0.000     0.000  MET         User43
  COMMIT\EXCEPTION_HANDLER                       EXCEPTION_HANDLER_TOP     11     0.000     0.000     0.000  MET         User44
  COMMIT\RETIRE_QUEUE                            RETIRE_QUEUE_TOP          11     0.000     0.000     0.000  MET         User45
  COMMIT\ROB_COMMIT                              ROB_COMMIT_TOP            11     0.000     0.000     0.000  MET         User46
  DECODE\DECODE_QUEUE                            DECODE_QUEUE_TOP          11     0.000     0.000     0.000  MET         User8
  DECODE\INSTRUCTION_DECODER                     INSTR_DECODER_TOP         11    -0.089    -0.876     0.000  VIOLATED    User9
  DECODE\INSTRUCTION_LENGTH_DECODER              ILD_TOP                   11     0.000     0.000     0.000  MET         User10
  DECODE\MICRO_OP_SPLITTER                       MICRO_OP_SPLIT_TOP        11     0.000     0.000     0.000  MET         User11
  DECODE\PRE_DECODE                              PRE_DECODE_TOP            11     0.000     0.000     0.000  MET         User12
  EXECUTE\ALU\ALU0                               ALU0_TOP                  11    -0.112    -1.094     0.000  VIOLATED    User21
  EXECUTE\ALU\ALU1                               ALU1_TOP                  11     0.000     0.000     0.000  MET         User22
  EXECUTE\BRU                                    BRU_TOP                   11     0.000     0.000     0.000  MET         User23
  EXECUTE\DIV                                    DIV_TOP                   11     0.000     0.000     0.000  MET         User24
  EXECUTE\FPU\FADD                               FADD_TOP                  11     0.000     0.000     0.000  MET         User25
  EXECUTE\FPU\FDIV                               FDIV_TOP                  11     0.000     0.000     0.000  MET         User26
  EXECUTE\FPU\FMUL                               FMUL_TOP                  11     0.000     0.000     0.000  MET         User27
  EXECUTE\FPU\FSQRT                              FSQRT_TOP                 11     0.000     0.000     0.000  MET         User28
  EXECUTE\LSU\LDU                                LDU_TOP                   11     0.000     0.000     0.000  MET         User29
  EXECUTE\LSU\STL_FORWARD                        STL_FORWARD_TOP           11     0.000     0.000     0.000  MET         User30
  EXECUTE\LSU\STU                                STU_TOP                   11     0.000     0.000     0.000  MET         User31
  EXECUTE\MUL                                    MUL_TOP                   11    -0.198    -3.760     0.000  VIOLATED    User32
  EXECUTE\SIMD_VEC                               SIMD_VEC_TOP              11     0.000     0.000     0.000  MET         User33
